Hotel_ID,Hotel Name,Hotel Location
1,JW Marriott Dongdaemun Square Seoul,"279, Cheonggyecheon-ro, Jongno-gu, Seoul, Seoul"
2,Banyan Tree Club & Spa Seoul,"60, Jangchungdan-ro, Jung-gu, Seoul, Seoul"
3,Grand Hilton Seoul,"353 Yeonhui-ro, Seodaemun-gu,_Seoul,_Seoul,"
4,Grand InterContinental Seoul,"521, Teheran-ro, Gangnam-gu, Seoul, Seoul"
5,Le Meridien Seoul,"120, Bongeunsa-ro, Gangnam-gu,_Seoul,_Seoul"
6,Lotte Hotel Seoul,"30, Eulji-ro, Jung-gu,_Seoul,_Seoul"
7,The Shilla Seou,"249, Dongho-ro, Jung-gu, Seoul, Seoul"
8,InterContinental Seoul COEX,"524, Bongeunsa-ro, Gangnam-gu, Seoul, Seoul"
